id,CountyName,StateName,geocentroid,popcentroid,difference,area,population,WeightedDifference
36103,Suffolk,New York,"40.86929223,-72.84707251","40.821924,-73.113775",23098.3,2362.2,1493350,475.2
16019,Bonneville,Idaho,"43.38747347,-111.6172009","43.494876,-111.997623",33028,4833.12,104234,475.1
02130,Ketchikan Gateway,Alaska,"55.58750774,-130.9338445","55.367858,-131.678527",53058.4,12583.23,13477,473
22029,Concordia,Louisiana,"31.43134646,-91.64033913","31.592783,-91.545991",20018.1,1805.01,20822,471.2
49019,Grand,Utah,"38.98142597,-109.5707969","38.569104,-109.530222",45908,9509.25,9225,470.8
13101,Echols,Georgia,"30.71156112,-82.89762033","30.708629,-83.057989",15365.5,1074.57,4034,468.7
01113,Russell,Alabama,"32.28610296,-85.18656265","32.421972,-85.062843",19042.9,1660.54,52947,467.3
48019,Bandera,Texas,"29.74765202,-99.24850433","29.703543,-99.036031",21130.4,2048.58,20485,466.9
12011,Broward,Florida,"26.1516908,-80.48750536","26.134058,-80.227135",26109.3,3133.33,1748066,466.4
06081,San Mateo,California,"37.42151292,-122.3238449","37.56395,-122.340991",15881.2,1161.37,718451,466
27137,St. Louis,Minnesota,"47.60468425,-92.46967319","47.085203,-92.311226",58982.6,16180.69,200226,463.7
38085,Sioux,North Dakota,"46.11358934,-101.0373385","46.161951,-100.72635",24624.2,2833.69,4153,462.6
06001,Alameda,California,"37.64335453,-121.8848969","37.705201,-122.100393",20212.3,1914.05,1510271,462
29165,Platte,Missouri,"39.3796539,-94.77565603","39.262166,-94.684698",15220.4,1088.29,89322,461.4
53051,Pend Oreille,Washington,"48.53215252,-117.2740799","48.286333,-117.222011",27605.2,3625.95,13001,458.4
37031,Carteret,North Carolina,"34.82244128,-76.64801903","34.746773,-76.804454",16597.3,1311.18,66469,458.4
31043,Dakota,Nebraska,"42.38982546,-96.56556279","42.445678,-96.441515",11947.2,684.42,21006,456.7
08081,Moffat,Colorado,"40.61882193,-108.20758","40.515239,-107.625859",50587,12285.06,13795,456.4
28055,Issaquena,Mississippi,"32.73356879,-90.99197745","32.867279,-91.006351",14889.6,1069.78,1406,455.2
12086,Miami-Dade,Florida,"25.61598639,-80.5641245","25.774565,-80.298888",31896.9,4915.06,2496435,455
35043,Sandoval,New Mexico,"35.68874305,-106.8676031","35.328605,-106.64926",44597.5,9610.54,131561,454.9
38017,Cass,North Dakota,"46.93306083,-97.24898229","46.860506,-96.861406",30615.8,4571.17,149778,452.8
41027,Hood River,Oregon,"45.51911981,-121.6508707","45.655533,-121.563132",16635.7,1351.84,22346,452.5
12061,Indian River,Florida,"27.69279826,-80.60437961","27.671827,-80.440581",16324.8,1302.43,138028,452.3
48043,Brewster,Texas,"29.81075954,-103.2520709","30.217438,-103.617388",57222.4,16015.79,9232,452.2
48355,Nueces,Texas,"27.72732797,-97.64307755","27.733674,-97.430035",21018.9,2171.66,340223,451
06055,Napa,California,"38.50782922,-122.3289532","38.329075,-122.321646",19852.8,1938.25,136484,450.9
41043,Linn,Oregon,"44.4882925,-122.5329759","44.554621,-122.959618",34709.8,5931.41,116672,450.7
35039,Rio Arriba,New Mexico,"36.50944379,-106.6911203","36.201002,-106.204801",55469.2,15179.5,40246,450.2
04015,Mohave,Arizona,"35.70661838,-113.7592756","35.069679,-114.249634",83538,34475.55,200186,449.9
12099,Palm Beach,Florida,"26.64733129,-80.46501816","26.617075,-80.146119",31931.1,5101.66,1320134,447.1
36113,Warren,New York,"43.56335465,-73.84241429","43.396992,-73.714626",21178.1,2245.4,65707,446.9
21019,Boyd,Kentucky,"38.35100393,-82.68282804","38.431905,-82.666548",9092.3,414.05,49542,446.8
44003,Kent,Rhode Island,"41.66988516,-71.59270897","41.699105,-71.487993",9303,436.49,166158,445.3
19155,Pottawattamie,Iowa,"41.33562639,-95.54279283","41.278533,-95.79515",22064,2461.21,93158,444.7
41067,Washington,Oregon,"45.55865675,-123.0927428","45.48421,-122.870641",19224.2,1875.75,529710,443.9
06109,Tuolumne,California,"38.02605158,-119.9515836","37.971531,-120.32853",33657.2,5752.06,55365,443.8
72087,Loza,Puerto Rico,"18.42143338,-65.89874806","18.419358,-65.869075",3143.4,50.16,30060,443.8
06015,Del Norte,California,"41.74386472,-123.8989419","41.791232,-124.163088",22585.5,2606.49,28610,442.4
53033,King,Washington,"47.49077524,-121.8044831","47.54832,-122.229983",32679.1,5479.29,1931249,441.5
22109,Terrebonne,Louisiana,"29.40179699,-90.85655129","29.592812,-90.722239",24857.9,3190.39,111860,440.1
36001,Albany,New York,"42.60029137,-73.97756442","42.678976,-73.81304",16077.3,1354.06,304204,436.9
22057,Lafourche,Louisiana,"29.55791611,-90.42399455","29.679993,-90.615099",22927.9,2766.66,96318,435.9
38015,Burleigh,North Dakota,"46.97789971,-100.4677018","46.822761,-100.761508",28260.1,4228.55,81308,434.6
08069,Larimer,Colorado,"40.66716299,-105.4605944","40.504546,-105.099218",35525.7,6723.61,299630,433.3
46083,Lincoln,South Dakota,"43.27806565,-96.72024301","43.427562,-96.746072",16740.5,1495.15,44828,432.9
53041,Lewis,Washington,"46.57807651,-122.3919366","46.617975,-122.832505",34048.4,6223.23,75455,431.6
21117,Kenton,Kentucky,"38.93486864,-84.53399474","39.01319,-84.548581",8786.2,415.05,159720,431.3
